Potencia,Maximo,DesvioPadrao,Curtose,Assimetria,Classe
5542322.5,9231.78,1089.465,0.24452910455875898,0.6300425091618644,0
5540425.0,9226.01,1091.0319,0.2458680539525142,0.6322930993176316,0
5545533.5,9431.994,1091.2446,0.24896746386859148,0.6305619374956548,0
5528036.0,12953.599,1088.6202,0.24562992366396585,0.6292346901616614,0
5544468.5,9881.256,1089.4414,0.23262323079124414,0.6260737627698801,0
5526095.5,8951.1455,1089.544,0.2603840231610497,0.6346955234528011,0
5549662.5,10756.558,1091.0956,0.22998557371166672,0.6257601329060428,0
5556997.0,11610.266,1091.3253,0.24986880564788416,0.6310375685218097,0
5546171.0,11246.264,1091.6361,0.2617248585013696,0.6355568850172522,0
5542779.0,9379.702,1090.1765,0.24840342476205723,0.6287424040962316,0
5550607.0,8819.47,1091.6753,0.2460883055904861,0.6314814622690199,0
5544572.0,8959.258,1091.6144,0.23496785580044488,0.6306791853116873,0
5543105.5,11615.563,1090.3215,0.24756601211450002,0.6308404962270824,0
5551831.0,8508.04,1092.2253,0.2528539341801368,0.6334053917537,0
5558940.0,11870.353,1091.8782,0.24473582556259066,0.6273345137859099,0
5543410.5,8724.536,1090.4802,0.23630688853432869,0.6273412535041544,0
5550570.0,10377.121,1090.4924,0.25486066733777646,0.6311643749613983,0
5547368.5,8941.846,1090.8263,0.24687408806352895,0.6288602542191586,0
5540935.5,9027.142,1089.7126,0.2430421607732196,0.6305858482124146,0
5554007.5,9663.372,1091.8044,0.2535876470982892,0.6302513658851178,0
5553515.0,8697.443,1091.3898,0.2422861805173242,0.6310248754021756,0
5540138.0,9332.725,1089.7213,0.2391363682781762,0.6289306485507528,0
5542524.0,8934.999,1089.6887,0.250937841170614,0.6320734932485186,0
5542508.5,8807.064,1089.5533,0.24789360772327695,0.6303636874305286,0
5531371.0,8550.006,1089.1134,0.2462027103275708,0.6317351210407685,0
5538295.5,10037.65,1089.3953,0.24597074033827226,0.6294337945528837,0
5540830.0,8654.335,1088.8042,0.23767060865653455,0.6266092626142963,0
5557013.5,8322.566,1091.0172,0.23617144832181047,0.6281470545303242,0
5537939.5,8681.522,1089.0797,0.24793102562501668,0.6321926814250768,0
5576662.5,9029.99,1093.7185,0.26439935060975817,0.6331541754166505,0
5609608.0,8631.846,1097.0807,0.23899596782411514,0.6289901944855455,0
5630987.0,9596.0625,1100.1138,0.27372654955022524,0.6375788779758166,0
5605067.5,10131.758,1098.1962,0.2598349045164956,0.6361122949014729,0
5574854.5,10003.923,1093.7722,0.25086368379067014,0.6332957637888381,0
5560751.0,9445.066,1091.4388,0.25255465584603254,0.6318335761909789,0
5610093.0,8631.526,1097.7897,0.264747989090762,0.6350894566420079,0
5617509.0,11193.133,1099.151,0.2853280207733637,0.6402208168360752,0
5529045.5,8735.341,1089.2172,0.2290075748534508,0.6289794937764605,0
5537850.0,9719.214,1089.7595,0.24158887896593306,0.6279568171990602,0
5561980.0,8562.406,1093.0154,0.23413339236351538,0.6299273353949777,0
5534324.5,10919.875,1089.7443,0.2527290577572101,0.632297752786812,0
5547091.0,10160.91,1091.1068,0.2402117058242066,0.628272578875839,0
5562558.0,16418.602,1095.4641,0.6521622058748253,0.6751469467457742,0
5621641.0,20355.715,1101.1035,0.4267784797321408,0.6511040614829573,0
5570114.5,10024.897,1094.0686,0.2496704214817962,0.6330349137361017,0
5543968.0,9428.572,1090.1854,0.250171220382724,0.630438252977063,0
5526173.5,9355.85,1088.7203,0.2516222120028089,0.6309976618758059,0
5527284.5,24651.299,1089.0916,0.5799054655574731,0.6502900053477298,0
5538866.5,14716.539,1089.9485,0.2507061473425578,0.6287405005797954,0
5530764.0,16287.386,1089.3518,0.2944444284914032,0.6340761472803482,0
5531442.5,9060.66,1089.2026,0.21729307735768888,0.6233238906224462,0
5536249.0,10525.369,1089.5574,0.24107460323049956,0.6289977988607585,0
