Potencia,Maximo,DesvioPadrao,Curtose,Assimetria
707832.1,4129.4277,389.8339,0.27284200293591887,0.6348281014928298
707633.0,3431.074,389.46912,0.24546332357247058,0.6292316999594959
706650.06,3072.4065,389.27344,0.2308357706099322,0.6270045493642697
707051.6,3406.818,389.33673,0.24392789968271256,0.6323854510971321
707375.44,3059.2864,389.6032,0.24799825354755178,0.6316926584936123
708058.9,3266.4324,390.1152,0.2530265333557704,0.6353077524884408
708624.4,3184.706,390.14117,0.23376397083866518,0.6284607169546356
706243.3,3166.8647,388.90802,0.2468769600931262,0.6296672366009011
708060.3,3412.3079,390.07907,0.25142535166508795,0.6315583927100155
710801.8,3400.7285,390.71375,0.24419702020523193,0.6320402165483235
718219.6,3246.833,393.31754,0.27813170325883174,0.6401373516568323
715415.56,3222.9653,392.4485,0.2706084981107679,0.6382230255550707
715074.94,3154.6633,392.01172,0.2595416509717672,0.6344414937588786
712379.06,3070.6301,391.28986,0.24946387386919788,0.6320834291890672
710673.25,3286.8186,390.9382,0.257119049325663,0.6341149214914494
716367.75,3181.004,392.6297,0.2579965319678559,0.6343684478741506
712676.0,6572.6494,391.02386,0.3657783281214879,0.6399309833267756
714808.1,3308.4045,391.9621,0.2828650445021297,0.6418691999186689
717901.94,3248.4514,392.51364,0.254445010206207,0.6335799353454813
718454.5,3277.4724,393.44885,0.2748430120764125,0.6410450023377678
716637.7,3694.77,392.8781,0.2688103114633389,0.6387274191459467
714627.9,3597.974,391.4128,0.2603432609310352,0.6328060425104378
714290.8,3158.1938,391.81757,0.27067881208901934,0.6367339373781257
717131.56,3520.2002,392.68304,0.25117207616768145,0.635812243066506
717814.44,4211.5864,392.8724,0.26309889958877974,0.6362455318381344
718355.25,3182.88,392.9553,0.2535134016072318,0.6349156417986289
717066.5,3247.6104,392.7673,0.25004032761662565,0.6350334688669734
715795.06,3064.69,392.05148,0.255097228198077,0.6352663940306617
708709.0,3685.217,389.91705,0.24563332251583647,0.6300459134204646
707318.94,3296.1768,389.57855,0.23828689676952752,0.6290630075702335
715868.8,3282.353,392.06653,0.26421464023462526,0.6338758245860403
712438.56,3213.045,391.24158,0.27043596959476934,0.6367665506766087
708692.06,3521.2979,389.6547,0.24746901686601452,0.6283179395561334
708200.2,3585.672,389.671,0.2253233173143463,0.6252236639198115
708714.8,3219.2583,390.13773,0.24146020442526162,0.6294198424194377
707490.3,3914.298,389.4666,0.24571277804590164,0.6294241930198149
708500.4,3381.3247,389.49652,0.24012901596330183,0.6286638756810755
707709.8,3089.9143,389.66003,0.2403929764812287,0.628364820188376
707653.94,3143.3843,389.57864,0.23716076604077108,0.6287764550251329
708314.5,3762.9639,389.60052,0.2516936259312468,0.6314745741720645
706864.7,3688.171,388.99762,0.2414990450140282,0.6272738007884147
708616.1,3647.1448,389.68896,0.2201770515995083,0.6238312002910898
707037.1,3215.4329,389.42697,0.23950354500494475,0.6285250537760657
709995.9,3208.0679,390.3832,0.2439332685869804,0.6286355961496433
709582.8,3053.543,390.1383,0.238154168014177,0.6293547907941851
708268.2,3235.7642,389.51993,0.24139504495947461,0.6274293064457157
707973.44,3572.9155,389.56735,0.2365095655956071,0.626900941232843
706762.4,3435.8896,389.37198,0.24691015014282724,0.6307983091947573
708350.25,3329.5676,389.84094,0.2467778234127076,0.6308924442815491
707563.7,4655.5684,389.81152,0.24233124091709213,0.6286785077263697
709301.94,4320.6343,389.97693,0.2669805574340778,0.6334351571201537
709116.25,4279.328,390.0529,0.26938022990321864,0.6353951024528346
706760.94,3442.363,389.22433,0.24086118431070913,0.6267129440474627
707451.44,3102.668,389.19614,0.24483441277327245,0.6279323624705088
709604.2,3224.8044,390.134,0.22913167926019762,0.6246512216315886
707693.9,3294.6965,389.5163,0.2257463166125402,0.6266631032434924
707732.94,3560.9436,389.99966,0.2431707284054876,0.631689482030189
706684.3,3158.213,389.107,0.23230295362811493,0.6280344937116329
706924.25,3185.5652,389.58206,0.24709217291339458,0.6295081199435951
706645.1,3403.4727,389.0055,0.23129756820143843,0.6263956449090865
707990.3,3247.9844,389.59134,0.2500661892822551,0.6313163009133842
707388.75,3167.7305,389.77075,0.2392328023278676,0.6316789302834431
707523.06,4077.733,389.21027,0.23570771608308627,0.6255120822820774
706675.6,3137.2544,389.2447,0.2437706297991853,0.6274090512022393
705526.75,3340.6804,388.52573,0.24560466998443964,0.6279192080264202
706458.25,4309.142,389.30875,0.25094399558926295,0.6312084769052702
