Potencia,Maximo,DesvioPadrao,FFT_Peak,FFT_Mean,Classe
1.0000007,3.8714545,0.46314165,183.64647,38.369,0
1.0000004,3.7416797,0.46304744,156.3707,38.83579,0
1.0,5.1780467,0.46272838,187.1899,38.868587,0
0.99999976,3.6648836,0.46297538,139.30972,38.180088,0
0.9999995,3.76003,0.46300516,190.91301,37.46854,0
0.99999994,3.6932366,0.4632445,149.60727,38.169502,0
1.0,4.1764264,0.4631654,161.37894,38.974777,0
1.0000001,4.3826423,0.46250737,164.94188,37.387215,0
0.9999997,3.746544,0.46306515,154.89912,38.006023,0
1.0000001,4.107399,0.46325094,197.93843,39.193813,0
0.9999998,3.8876386,0.4632199,157.11433,38.016563,0
1.0,4.125722,0.46295917,199.27507,37.61379,0
1.0000001,4.008032,0.4628491,197.79051,38.61636,0
0.9999999,4.120277,0.4635026,151.11275,37.40147,0
0.99999976,3.8951309,0.46323982,155.73152,38.115314,0
0.99999994,5.0571213,0.46310174,139.94807,39.173344,0
1.0000001,4.111847,0.4633247,195.82385,38.00452,0
1.0000002,5.123187,0.46338814,154.86081,38.01313,0
0.99999994,3.8142555,0.4631056,166.51314,38.167706,0
1.0000001,3.9728365,0.4630594,152.82573,38.298958,0
0.99999976,3.7251513,0.46269876,154.3592,37.721775,0
1.0000002,3.573557,0.46328035,212.3612,38.1892,0
0.9999998,5.511908,0.46369305,175.7667,36.71941,0
0.9999998,4.0020514,0.4632211,145.41287,38.900448,0
1.0000002,3.5731714,0.46304864,154.87106,37.82917,0
1.0000002,3.555501,0.46318474,172.36755,38.244556,0
1.0,3.772314,0.4628917,173.82385,38.269955,0
1.0000001,3.6698024,0.46352926,162.84447,37.551777,0
1.0000002,3.9234786,0.46343526,189.96996,38.210674,0
0.9999998,5.4613385,0.46283495,193.6026,38.32379,0
0.9999997,3.7320561,0.46303532,148.91934,38.572575,0
0.99999994,3.7787204,0.46290222,164.4509,38.113934,0
1.0000002,5.5073576,0.46324363,177.33109,38.373802,0
1.0000001,3.6552036,0.46290126,150.96794,38.92494,0
0.99999994,3.530247,0.46286702,157.26219,37.773457,0
0.99999946,4.397924,0.46349582,168.91412,38.24946,0
1.0000005,3.852313,0.46292752,186.64949,38.806477,0
1.0000002,3.8089678,0.46311474,155.88997,38.55499,0
1.0000002,3.920466,0.46356177,159.78668,38.180023,0
